Name,Brand,Image URL,Product Page
Nike,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw30587070/hi-res/pdp/324/324615/324615-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/nike-court-vision-next-nature-witte-sneakers/324615.html
Nike,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dwcf20ab79/hi-res/pdp/328/328015/328015-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/nike-waffle-debut-zwarte-sneakers/328015.html
Gabor,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dwa5663030/hi-res/pdp/328/328221/328221-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/casual-sneakers/gabor-optifit-zwarte-sneakers/328221.html
adidas,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw1167663b/hi-res/pdp/311/311386/311386-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/adidas-ozelle-zwarte-sneakers/311386.html
Vans,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw4b15a2f4/hi-res/pdp/328/328233/328233-1.jpg?sw=350,https://www.torfs.be/nl/heren/schoenen/sneakers/lage-sneakers/vans-seldan-zwarte-skate-sneakers/328233.html
Nike,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw12ce568f/hi-res/pdp/328/328020/328020-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/nike-court-legacy-lift-witte-platform-sneakers/328020.html
Geox,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw7eb31bfb/hi-res/pdp/328/328354/328354-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/casual-sneakers/geox-blomiee-zwarte-sneakers/328354.html
adidas,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dwa2e63453/hi-res/pdp/326/326255/326255-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/adidas-bravada-2.0-platform-zwarte-sneakers/326255.html
adidas,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dwa59f5c7c/hi-res/pdp/311/311384/311384-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/sportieve-sneakers/adidas-ozelle-beige-sneakers/311384.html
NeroGiardini,Sneakers,https://www.torfs.be/dw/image/v2/BCQR_PRD/on/demandware.static/-/Sites-torfs-catalog-master/default/dw32661dce/hi-res/pdp/331/331830/331830-1.jpg?sw=350,https://www.torfs.be/nl/dames/schoenen/sneakers/casual-sneakers/nerogiardini-zwarte-sneakers/331830.html
